Author,Date,Title,Journal,Journal ID,Volume,Page Start,Page End,Keword,Keword2,Reprint,LookupNumber,PDF
"Anderson, H.M.",1993.,Conserving America's freshwater ecosystems: The Wilderness Society's approach.,,1509,12,194,196,"biodiversity, conservation, Wilderness Society, streams, ecosystems",,0,381,1
"Argyle, D.W. and G.F. Edmunds, Jr.",1962.,"Mayflies (Ephemeroptera) of teh Curecanti reservoir basins Gunnison River, Colorado.","University of Utah, Anthropological Papers, No. 59, Upper Colorado Series, No. 8.",,,,,"Colorado, Gunnison River, reservoir, pollution, Ameletus, Siphlonurus, Baetis, Pseudocloeon, Centroptilum, Heptagenia, Cinygmula, Rithrogena, Epeorus, Ephemerella, Tricorythodes, Paraleptophlebia",,1,467,1
"Arvy, L. and W.L. Peters.",1976.,"Liste des Ephemeropteres-hostes de parasites, de commensaux et autres associes.",,1887,51,121,141,"Ephemeroptera, parasites",,1,645,0
"Avila, Socorro and R. Willis Flowers.",2005.,New species and records of ^Ulmeritoides^ (Ephemeroptera: Leptophlebiidae) from Costa Rica.,,1917,1010,1,14,"Leptophlebiidae, Ulmeritoides, Costa Rica, new species",,0,977,1
"Bae, Y.J. and W.P. McCafferty.",1998,Phylogenetic systematics and biogeography of the Neoephemeridae (Ephemeroptera: Pannota),,423,20,35,68,"Pannota, biogeography, systematics, Neoephemeridae",,1,926,1
"Bae, Y.J., K.J. Finlay, and I.C. Campbell.",2004.,Taxonomic status of the Australian mayfly genera ^Jappa^ and ^Ulmerophlebia^ (Ephemeroptera: Leptophlebiidae),,141,115,1,10,"Leptophlebiidae, Jappa, Ulmerophlebia, Australia",,0,950,1
"Bae, Y.J., Kluge, N.J., and D.J. Chun.",1998.,New synonym and new data on the distribution of mayflies from Korea and the Russian Far East (Ephemeroptera).,,1684,7,89,94,"Ephemeroptera, Korea, Russia, synonym",,0,739,0
"Ball, S.L., P.D.N. Herbert, S.K. Burian, and J.M. Webb.",2005.,Biological identifications of mayflies (Ephemeroptera) using DNA barcodes.,,1509,24,508,524,"DNA, bar codes, taxonomy, molecular",,0,989,1
"Ball, Shelley L.",2002.,"Population variation and ecological correlates of tychoparthenogenesis in the mayfly, ^Stenonema femoratum^.",Biological Journal of the Linnean Society,,75,101,123,"population variation, dispersal, parthenogenesis, Stenonema femoratum",PDF,0,1083,1
"Ban, R. and T. Kawai.",1986.,Comparison of the life cyles of two mayfly species between upper and lower parts of the same stream.,,423,8,207,215,"Ephemeroptera, Ephemerellidae, life cycles",,0,76,1
"Banks, N.",????.,Descriptions of new Neuropteroid insects.,,85,?,?,?,"Heptageniidae, Hagenulus eatoni, Rhithogena hespera, Epeorus morrisoni, undulatus, Baetidae, Baetis lasallei, parallela, Cloeon carolina",,0,236,1
"Banks, N.",1863?.,Descriptions of new neuropteroid insects.,,85,12,421,455,"Ephemeroptera, new species, Hagenulus eatoni, Rhithogena hespera, Epeorus morrisoni, undulatus, Baetis lasallei, parallela, Cloeon carolina",,0,293,1
"Banks, N.",1913,Neuropteroid insects from Brazil,,290,,83,89,"Brazil, Ephemeridae, Campsurus, Spaniophelbia, Tricorythus australis, Baetis",,0,842,0
"Banks, N.",1903.,Neuropteroid insects from Arizona.,,309,5,237,245,"Ephemeroptera, Arizona",,0,1054,1
"Barber-James, H.M. and W.P. McCafferty.",1997.,Review and new species of the African genus ^Acanthiops^ (Ephemeroptera: Baetidae).,,1871,33,85,92,"Baetidae, Acanthiops, Africa",,1,536,0
"Barnard, K.H.",1932.,South African may-flies (Ephemeroptea).,,387,20,201,259,"South Africa, new species",,1,874,0
"Barnard, K.H.",1940.,"Additional records, and descriptions of new species, of South African Alder-flies (Megaloptera), may-flies (Ephemeroptera), caddis-flies (Trichoptera), stone-flies (Perlaria), and dragon-flies (Odon##",,41,32 (Part 6),609,661,"South Africa, Ephemeroptea, new species",,0,1041,1
"Baumann, R.W. and B.C. Kondratieff.",2000.,"A confirmed record of the Ephemeroptera genus ^Baetisca^ from west of the Continental Divide and an annotated list of the mayflies of the Humboldt River, Nevada.",,1842,60,459,461,"Baetisca, Nevada, Humboldt River",,1,690,0
"Baumgardner, D.E.",2003.,New synonyms and stage description for three species of Leptohyphidae (Ephemeroptera).,,309,105,203,208,"Leptohyphidae, Leptohyphidae, Allenhyphes, Vacupernius, Homoleptohyphes",,1,835,1
"Baumgardner, D.E.",2009.,"^Tricorythodes minutus^ Traver, a new synonym of ^Tricorythodes explicatus"" Eaton (Ephemeroptera: Leptohyphidae).
^Tricorythodes minutus^ Traver, a new synonym of ^Tricorythodes explicatus^ Eaton (Ephemeroptera: Leptohyphidae).",,309,111,57,67,"Leptohyphidae, Tricorythodes minutus, explicatus",PDF,0,862,1
"Baumgardner, D.E.",2005.,"New and additional records of mayflies (Ephemeroptera) from the southwestern United States, including a new country record.",,309,107,977,978,"Arizona, New Mexico, Texas, new records",,0,985,0
